autobahn,roadwork_id,title,subtitle,description,latitude,longitude,start_timestamp,display_type,extent,direction,impact
A1,2024-004256--vi-bs.2024-01-31_07-00-00-000.devi-zus.2024-01-31_07-00-00-000_018.f.de1,A1 | Hochwald-West - Mehringer Höhe, Saarbrücken -> Trier,"Zeitraum dieser Bauphase: Beginn: 31.01.24 um 07:00 Uhr Ende: 28.02.27 um 07:00 Uhr (Ende der Gesamtmaßnahme: 28.02.27)  A1: Saarbrücken -> Trier, zwischen 5.6 km hinter Hochwald-West und 0.8 km vor Mehringer Höhe  Länge: 6.42 km | Maximale Durchfahrtbreite: 7.5 m  Stauwarnanlage A1 Baustelle Fellertalbrücke Fahrtrichtung Koblenz",49.73929515761287,6.883366617566736,2024-01-31T07:00:00+01:00,,"49.73929515761287,6.883366617566736,49.78257619024187,6.8320929622769375",,"{'lower': 'Mehringer Höhe', 'upper': 'Hochwald-West', 'symbols': ['SEPARATE', 'ARROW_UP', 'ARROW_UP', 'BORDER_RIGHT', 'BREAKDOWN_LANE']}"
A1,2024-004156--vi-bs.2025-01-24_00-00-00-000.devi-zus.2024-02-13_00-00-00-000_004.f.de31,A1 | Mehring - Moseltal, Saarbrücken -> Köln/Koblenz,"Zeitraum dieser Bauphase: Beginn: 24.01.25 um 00:00 Uhr Ende: 29.11.25 um 00:00 Uhr (Ende der Gesamtmaßnahme: 29.11.25)  A1: Saarbrücken -> Köln/Koblenz, zwischen 1.4 km hinter AS Mehring und 4.6 km vor AD Moseltal  Länge: 2.04 km | Maximale Durchfahrtbreite: 3.65 m  A1 Brückeninstandsetzung Fellertalbrücke",49.783913639500064,6.826200778045879,2025-01-24T00:00:00+01:00,,"49.783913639500064,6.826200778045879,49.78281004647337,6.798137226636878",,"{'lower': 'Moseltal', 'upper': 'Mehring', 'symbols': ['SEPARATE', 'CLOSED', 'ARROW_UP', 'BORDER_RIGHT', 'BREAKDOWN_LANE']}"
A1,2024-038925--vi-bs.2025-10-06_00-00-00-000.devi-zus.2025-06-01_00-00-00-000.f_001.de3,A1 | Rioler Wald - Schweich, Saarbrücken -> Köln/Koblenz,"Zeitraum dieser Bauphase: Beginn: 06.10.25 um 00:00 Uhr Ende: 01.12.25 um 00:00 Uhr (Ende der Gesamtmaßnahme: 01.12.29)  A1: Saarbrücken -> Köln/Koblenz, zwischen 5.9 km hinter Rioler Wald und 0.8 km vor AS Schweich  Länge: 2.09 km | Maximale Durchfahrtbreite: 5.85 m  A1 Brückeninstandsetzung Moselbrücke Schweich",49.80975113718318,6.75824633835306,2025-10-06T00:00:00+02:00,,"49.80975113718318,6.75824633835306,49.82846011086849,6.7604116176820845",,"{'lower': 'Schweich', 'upper': 'Rioler Wald', 'symbols': ['ARROW_DOWN', 'BORDER_LEFT', 'ARROW_DOWN', 'SEPARATE', 'ARROW_UP', 'ARROW_UP', 'SEPARATE', 'CLOSED', 'CLOSED', 'BORDER_RIGHT', 'CLOSED']}"
A1,2024-004156--vi-bs.2025-01-24_00-00-00-000.devi-zus.2024-02-13_00-00-00-000_004.f.de33,A1 | Rioler Wald - Moseltal, Saarbrücken -> Köln/Koblenz,"Zeitraum dieser Bauphase: Beginn: 24.01.25 um 00:00 Uhr Ende: 29.11.25 um 00:00 Uhr (Ende der Gesamtmaßnahme: 29.11.25)  A1: Saarbrücken -> Köln/Koblenz, zwischen 1.3 km hinter Rioler Wald und 0.8 km vor AD Moseltal  Länge: 3.8 km | Maximale Durchfahrtbreite: 3.8 m  A1 Brückeninstandsetzung Fellertalbrücke",49.78281004647337,6.798137226636878,2025-01-24T00:00:00+01:00,,"49.78281004647337,6.798137226636878,49.802987967689575,6.761338374370144",,"{'lower': 'Moseltal', 'upper': 'Rioler Wald', 'symbols': ['CLOSED', 'BORDER_LEFT', 'CLOSED', 'CLOSED', 'CLOSED', 'SEPARATE', 'ARROW_DOWN', 'ARROW_DOWN', 'BORDER_RIGHT', 'ARROW_UP']}"
A1,2024-004156--vi-bs.2025-01-24_00-00-00-000.devi-zus.2024-02-13_00-00-00-000_004.f.de35,A1 | Moseltal - Rioler Wald, Köln/Koblenz -> Saarbrücken,"Zeitraum dieser Bauphase: Beginn: 24.01.25 um 00:00 Uhr Ende: 29.11.25 um 00:00 Uhr (Ende der Gesamtmaßnahme: 29.11.25)  A1: Köln/Koblenz -> Saarbrücken, zwischen 0.8 km hinter AD Moseltal und 1.3 km vor Rioler Wald  Länge: 3.8 km | Maximale Durchfahrtbreite: 6 m  A1 Brückeninstandsetzung Fellertalbrücke",49.8029072663572,6.761174437844671,2025-01-24T00:00:00+01:00,,"49.8029072663572,6.761174437844671,49.782678155170814,6.7981689743221",,"{'lower': 'Rioler Wald', 'upper': 'Moseltal', 'symbols': ['ARROW_DOWN', 'BORDER_LEFT', 'ARROW_UP', 'ARROW_UP', 'SEPARATE', 'CLOSED', 'CLOSED', 'CLOSED', 'BORDER_RIGHT', 'CLOSED']}"
A1,2025-055209--vi-bs.2025-11-10_08-00-00-000_013.de0,A1 | Moseltal - Rioler Wald, Köln/Koblenz -> Saarbrücken,"Die Baustelle ist zu folgenden Zeiträumen gültig: 10.11.25 von 08:00 bis 18:00 Uhr  A1: Köln/Koblenz -> Saarbrücken, zwischen 4.6 km hinter AD Moseltal und 1.0 km vor Rioler Wald  Länge: 0.3 km | Maximale Durchfahrtbreite: 10.75 m  A1 Wartung Mautbrücke",49.78259134191495,6.7972756560523395,,,"49.78259134191495,6.7972756560523395,49.783007019906954,6.801420665286595",,"{'lower': 'Rioler Wald', 'upper': 'Moseltal', 'symbols': ['SEPARATE', 'ARROW_UP', 'ARROW_UP', 'ARROW_UP', 'BORDER_RIGHT', 'CLOSED']}"
A1,2025-041136--vi-bs.2025-09-15_00-00-00-000.de0,A1 | Moseltal - Mehring, Köln/Koblenz -> Saarbrücken,"Zeitraum dieser Bauphase: Beginn: 06.10.25 um 00:00 Uhr Ende: 06.12.25 um 00:00 Uhr (Ende der Gesamtmaßnahme: 06.12.25)  A1: Köln/Koblenz -> Saarbrücken, zwischen 5.8 km hinter AD Moseltal und 1.8 km vor AS Mehring  Länge: 0.5 km | Maximale Durchfahrtbreite: 11 m  Teilsperrung Parkplatz von der A1 Rioler Wald (aus Richtung Moseltal) aufgrund von Errichtung von E-Ladesäulen
 Arbeiten an Parkplätzen",49.784284292782665,6.8144871385601595,2025-10-06T00:00:00+02:00,,"49.784284292782665,6.8144871385601595,49.784317957833046,6.821384289292863",,"{'lower': 'Mehring', 'upper': 'Moseltal', 'symbols': ['SEPARATE', 'ARROW_UP', 'ARROW_UP', 'ARROW_UP', 'BORDER_RIGHT', 'CLOSED']}"
A1,2024-004156--vi-bs.2025-01-24_00-00-00-000.devi-zus.2024-02-13_00-00-00-000_004.f.de37,A1 | Moseltal - Rioler Wald, Köln/Koblenz -> Saarbrücken,"Zeitraum dieser Bauphase: Beginn: 24.01.25 um 00:00 Uhr Ende: 29.11.25 um 00:00 Uhr (Ende der Gesamtmaßnahme: 29.11.25)  A1: Köln/Koblenz -> Saarbrücken, zwischen AD Moseltal und 5.1 km vor Rioler Wald  Länge: 0.8 km | Maximale Durchfahrtbreite: 7.5 m  A1 Brückeninstandsetzung Fellertalbrücke",49.809741319622596,6.758054818208905,2025-01-24T00:00:00+01:00,,"49.809741319622596,6.758054818208905,49.80287870310539,6.761208206058875",,"{'lower': 'Rioler Wald', 'upper': 'Moseltal', 'symbols': ['SEPARATE', 'ARROW_UP', 'ARROW_UP', 'BORDER_RIGHT', 'CLOSED']}"
A1,2025-041165--vi-bs.2025-09-15_00-00-00-000_001.de0,A1 | Moseltal - Mehring, Köln/Koblenz -> Saarbrücken,"Zeitraum dieser Bauphase: Beginn: 15.09.25 um 00:00 Uhr Ende: 14.11.25 um 23:45 Uhr (Ende der Gesamtmaßnahme: 14.11.25)  A1: Köln/Koblenz -> Saarbrücken, zwischen 5.8 km hinter AD Moseltal und 1.8 km vor AS Mehring  Länge: 0.5 km | Maximale Durchfahrtbreite: 7.5 m  Sperrung Rastplatz Mehringer Höhe von der A1 Mehringer Höhe (aus Richtung Mehring) Arbeiten an Parkplätzen",49.784284292782665,6.8144871385601595,2025-09-15T00:00:00+02:00,,"49.784284292782665,6.8144871385601595,49.784317957833046,6.821384289292863",,"{'lower': 'Mehring', 'upper': 'Moseltal', 'symbols': ['SEPARATE', 'ARROW_UP', 'ARROW_UP', 'BORDER_RIGHT', 'CLOSED']}"
A1,2024-038925--vi-bs.2025-10-06_00-00-00-000.devi-zus.2025-06-01_00-00-00-000.f_001.de1,A1 | Schweich - Rioler Wald, Köln/Koblenz -> Saarbrücken,"Zeitraum dieser Bauphase: Beginn: 06.10.25 um 00:00 Uhr Ende: 01.12.25 um 00:00 Uhr (Ende der Gesamtmaßnahme: 01.12.29)  A1: Köln/Koblenz -> Saarbrücken, zwischen 0.8 km hinter AS Schweich und 5.9 km vor Rioler Wald  Länge: 2.09 km | Maximale Durchfahrtbreite: 5.85 m  A1 Brückeninstandsetzung Moselbrücke Schweich",49.828482660440606,6.7602342416618475,2025-10-06T00:00:00+02:00,,"49.828482660440606,6.7602342416618475,49.809741319622596,6.758054818208905",,"{'lower': 'Rioler Wald', 'upper': 'Schweich', 'symbols': ['CLOSED', 'BORDER_LEFT', 'CLOSED', 'CLOSED', 'SEPARATE', 'ARROW_DOWN', 'ARROW_DOWN', 'SEPARATE', 'ARROW_UP', 'BORDER_RIGHT', 'ARROW_UP']}"
