autobahn,warning_id,title,subtitle,description,latitude,longitude,is_roadworks,start_timestamp,display_type,extent
A1,undefined--vi-avl.2025-11-08_23-45-30-000.f.de0,A1 | Drantumer Mühle - Cappeln Hagelage-West, Bremen -> Osnabrück,"Beginn: 09.11.25 um 00:13 Uhr  Angespannte Verkehrslage, seit 09.11.2025, 00:13 A1: Bremen -> Osnabrück, zwischen 0.7 km hinter Drantumer Mühle und 3.3 km vor Cappeln Hagelage-West  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 68 km/h",52.822928481479174,8.21325324075378,False,2025-11-09T00:13:30+01:00,,"52.822928481479174,8.21325324075378,52.81290971955706,8.210529622698347"
A2,undefined--vi-hind.2025-11-09_00-13-30-000.f.de0,A2 | Schafstrift Nord - Bad Nenndorf, Dortmund -> Hannover,"Beginn: 09.11.25 um 00:13 Uhr  Fahrzeug-Hindernis, seit 09.11.2025, 00:13 A2: Dortmund -> Hannover, zwischen 3.6 km hinter Schafstrift Nord und 0.1 km vor AS Bad Nenndorf Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",52.281487600928465,9.34715660000013,False,2025-11-09T00:13:30+01:00,,"52.281487600928465,9.34715660000013,52.333705900928116,9.407836100000157"
A2,undefined--vi-hind.2025-11-08_23-04-00-000.f_010.de0,A2 | Ziesar - Wollin, Magdeburg -> Berliner Ring,"Beginn: 08.11.25 um 23:04 Uhr  Hindernis, seit 08.11.2025, 23:04 A2: Magdeburg -> Berliner Ring, zwischen 0.2 km hinter AS Ziesar und 0.3 km vor AS Wollin  Gefahr durch Gegenstände auf der Fahrbahn",52.24878948051115,12.259703857384844,False,2025-11-08T23:04:00+01:00,,"52.24878948051115,12.259703857384844,52.28947250092887,12.458366300033878"
A3,undefined--vi-zus.2025-11-09_00-14-00-000.f.de0,A3 | Laaber - Birkach, Nürnberg -> Passau,"Beginn: 09.11.25 um 00:14 Uhr  Zusammengesetzte Verkehrsinformation, seit 09.11.2025, 00:14 A3: Nürnberg -> Passau, zwischen 5.8 km hinter AS Laaber und 1.1 km vor Birkach  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 68 km/h",49.04772133017365,11.92935748972521,False,2025-11-09T00:14:00+01:00,,"49.04772133017365,11.92935748972521,49.03682715004852,11.934012682792492"
A3,undefined--vi-hind.2025-11-08_23-29-00-000.f_008.de0,A3 | Hambitz - Bad Honnef/Linz, Frankfurt -> Köln,"Beginn: 08.11.25 um 23:29 Uhr  Hindernis, seit 08.11.2025, 23:29 A3: Frankfurt -> Köln, zwischen 0.3 km hinter Hambitz und 0.4 km vor AS Bad Honnef/Linz  Gefahr durch Personen auf der Fahrbahn",50.63739289606017,7.356340706901725,False,2025-11-08T23:29:00+01:00,,"50.63739289606017,7.356340706901725,50.64761080093808,7.3335063999985275"
A3,undefined--vi-hind.2025-11-08_23-29-00-000.f_007.de0,A3 | Hambitz - Bad Honnef/Linz, Frankfurt -> Köln,"Beginn: 08.11.25 um 23:29 Uhr  Hindernis, seit 08.11.2025, 23:29 A3: Frankfurt -> Köln, zwischen 0.3 km hinter Hambitz und 0.4 km vor AS Bad Honnef/Linz  Gefahr durch Personen auf der Fahrbahn",50.63739289606017,7.356340706901725,False,2025-11-08T23:29:00+01:00,,"50.63739289606017,7.356340706901725,50.64761080093808,7.3335063999985275"
A3,undefined--vi-hind.2025-11-08_23-29-00-000.f_005.de0,A3 | Bad Honnef/Linz - Hambitz, Köln -> Frankfurt,"Beginn: 08.11.25 um 23:29 Uhr  Hindernis, seit 08.11.2025, 23:29 A3: Köln -> Frankfurt, zwischen 0.4 km hinter AS Bad Honnef/Linz und 0.3 km vor Hambitz  Gefahr durch Personen auf der Fahrbahn",50.647342566785944,7.333610671790209,False,2025-11-08T23:29:00+01:00,,"50.647342566785944,7.333610671790209,50.6372953188196,7.356075763537264"
A4,undefined--vi-unf.2025-11-08_21-35-30-000.f_018.de0,A4 | Nieder Seifersdorf - Wiesaer Forst, Dresden -> Görlitz,"Beginn: 08.11.25 um 21:35 Uhr  Unfall, seit 08.11.2025, 21:35 A4: Dresden -> Görlitz, zwischen 3.9 km hinter AS Nieder Seifersdorf und 1.0 km vor Wiesaer Forst",51.214733908892626,14.811564943313199,False,2025-11-08T21:35:30+01:00,,"51.214733908892626,14.811564943313199,51.219075582708896,14.858052999008645"
A4,undefined--vi-zus.2025-11-09_00-14-00-000.f_001.de0,A4 | Nieder Seifersdorf - Wiesaer Forst, Dresden -> Görlitz,"Beginn: 09.11.25 um 00:14 Uhr  Zusammengesetzte Verkehrsinformation, seit 09.11.2025, 00:14 A4: Dresden -> Görlitz, zwischen 4.1 km hinter AS Nieder Seifersdorf und 0.8 km vor Wiesaer Forst  Langsamer Verkehr Reisezeitverlust: 2 Minuten Durchschnittsgeschwindigkeit: 34 km/h",51.214804561299616,14.81440367440464,False,2025-11-09T00:14:00+01:00,,"51.214804561299616,14.81440367440464,51.21928578913451,14.861009754267734"
A4,undefined--vi-unf.2025-11-08_21-35-30-000.f_019.de0,A4 | Nieder Seifersdorf - Wiesaer Forst, Dresden -> Görlitz,"Beginn: 08.11.25 um 21:35 Uhr  Unfall, seit 08.11.2025, 21:35 A4: Dresden -> Görlitz, zwischen 0.2 km hinter AS Nieder Seifersdorf und 1.0 km vor Wiesaer Forst",51.20315120095767,14.763281200521499,False,2025-11-08T21:35:30+01:00,,"51.20315120095767,14.763281200521499,51.219075582708896,14.858052999008645"
